순위,책 명,가격,저자 및 출판사
1,흔한남매 4,"10,800원","
흔한남매 원저/백난도 글/유난희 그림/샌드박스 네트워크 감수  
                
                
                    | 미래엔아이세움
                
                    | 2020년 03월
                 
            "
2,더 해빙 The Having,"14,400원","
이서윤,홍주연 저  
                
                
                    | 수오서재
                
                    | 2020년 03월
                 
            "
3,설민석의 한국사 대모험 13,"10,800원","
설민석,스토리박스 글/정현희 그림/태건 역사 연구소 감수  
                
                
                    | 아이휴먼
                
                    | 2020년 03월
                 
            "
4,2020 제11회 젊은작가상 수상작품집,"4,950원","
강화길,최은영,김봉곤,김초엽,장류진,장희원,이현석 저  
                
                
                    | 문학동네
                
                    | 2020년 04월
                 
            "
5,데일 카네기 인간관계론,"10,350원","
데일 카네기 저/임상훈 역  
                
                
                    | 현대지성
                
                    | 2019년 10월
                 
            "
6,날씨가 좋으면 찾아가겠어요,"12,420원","
이도우 저  
                
                
                    | 시공사
                
                    | 2020년 02월
                 
            "
7,메타인지 학습법,"13,500원","
리사 손 저  
                
                
                    | 21세기북스
                
                    | 2019년 06월
                 
            "
8,페스트,"11,700원","
알베르 까뮈 저/김화영 역  
                
                
                    | 민음사
                
                    | 2011년 03월
                 
            "
9,당신이 옳다,"14,220원","
정혜신 저  
                
                
                    | 해냄
                
                    | 2018년 10월
                 
            "
10,설민석의 세계사 대모험 5,"10,800원","
설민석,잼스토리 글/박성일 그림  
                
                
                    | 단꿈아이
                
                    | 2020년 04월
                 
            "
11,존리의 부자되기 습관,"13,500원","
존 리 저  
                
                
                    | 지식노마드
                
                    | 2020년 01월
                 
            "
12,타인의 해석,"16,650원","
말콤 글래드웰 저/유강은 역/김경일 감수  
                
                
                    | 김영사
                
                    | 2020년 03월
                 
            "
13,1cm 다이빙,"12,150원","
태수,문정 저  
                
                
                    | 피카(FIKA)
                
                    | 2020년 01월
                 
            "
14,밤은 이야기하기 좋은 시간이니까요,"13,500원","
이도우 저  
                
                
                    | 위즈덤하우스
                
                    | 2020년 03월
                 
            "
15,지적 대화를 위한 넓고 얕은 지식 제로,"17,820원","
채사장 저  
                
                
                    | 웨일북
                
                    | 2019년 12월
                 
            "
16,"1일 1페이지, 세상에서 가장 짧은 교양 수업 365","14,400원","
데이비드 S. 키더,노아 D. 오펜하임 저/허성심 역  
                
                
                    | 위즈덤하우스
                
                    | 2019년 10월
                 
            "
17,아이가 잘먹는 유아식 123,"3,240원","
채남수 저  
                
                
                    | 경향비피
                
                    | 2014년 06월
                 
            "
18,내가 원하는 것을 나도 모를 때,"14,400원","
전승환 저  
                
                
                    | 다산초당
                
                    | 2020년 01월
                 
            "
